m,n_dus_edges,n_skip,C,L,version_ref,n_dependencies,C_spine,L_spine,C_spine_sd,L_spine_sd,C_fwd,L_fwd,m_fwd
92,2720,2629,0.7473798104097024,1.1304347826086956,HkXygu50V0FeFF7,28619,0.7399512297530805,1.1304347826086956,0.0006430298513335745,0.0,0.8474622963259899,1.1031552889869372,45.2
128,1997,1870,0.5371442289738323,2.140625,7e2Y8wTlo3A9d0N,29725,0.5146442956600603,1.546484375,0.0016900663754436953,0.017896423732742667,,,
127,2256,2130,0.46624640566246406,2.8503937007874014,O2X62XgFk68BYmc,28168,0.44002875470028757,2.7177165354330706,0.0010756772501118725,0.10899967321904006,,,
94,2917,2824,0.7454735831769993,1.1808510638297873,oIe8aHE14EIle27,29461,0.7414990619955499,1.1813829787234045,0.0006207725147751733,0.0023185632678407505,,,
92,2710,2619,0.7274508229626656,1.1630434782608696,kdNKS921HezGa51,28673,0.7224865515857085,1.1630434782608698,0.0006738785971690771,2.220446049250313e-16,,,
26,167,142,0.47058823529411764,1.4615384615384615,4849XiHYQ1Fpit3,33220,0.4685729847494553,1.4615384615384612,0.00500704360981848,2.220446049250313e-16,,,
211,2749,2539,0.5452521754772559,3.706161137440758,Fp5Ei53H2IabYy1,35578,0.5133901468306613,3.6708530805687203,0.00237025887561472,0.09372000467268099,,,
92,2691,2600,0.737987679671458,1.108695652173913,yMpq3d7eATmI9vp,28185,0.7305190965092403,1.1086956521739133,0.0008185788805587672,2.220446049250313e-16,,,
27,188,162,0.6221198156682027,2.888888888888889,1iEHL337Ee8l170,33859,0.620967741935484,2.861111111111111,0.002853796166892367,0.032867109906109,0.6831310440160967,3.558820217276099,34.9
28,165,138,0.6445916114790287,5.392857142857143,8QX1Hih3Gcp0vdc,32801,0.6453090507726269,5.475,0.0014507107536528678,0.12479575149754377,,,
349,5546,5198,0.40583631359185124,4.699140401146132,TzN072RxoFnAFK6,44879,0.39256043215308856,3.6179083094555877,0.001715422429283226,0.2873159430761219,,,
119,4095,3977,0.6217756575336683,2.4285714285714284,YnIk9pjB3sFtwAX,71260,0.6111584413391311,2.2533613445378156,0.00036965029669640905,0.0884261641038933,,,
207,6642,6436,0.4968868067795362,1.5217391304347827,Dzo5J1anu7Q65mj,66014,0.46336924358378473,1.47536231884058,0.0006913786820842757,0.017776202408670626,,,
342,5448,5107,0.4402418853757362,8.804093567251462,e36M12yEw876gdX,45678,0.42051518784622255,7.2406432748538005,0.0016352821389490793,0.6980243828511664,,,
152,4410,4259,0.6330255379979137,3.1052631578947367,Id855C9lCg2q39t,80196,0.6208689100954294,2.9894736842105263,0.0005328429283424643,0.18482510262287638,0.8305918569251298,2.956741930077198,76.1
164,3528,3365,0.5628323332845505,4.621951219512195,1HzNNKwyLCX8ijd,53300,0.5398129177033025,4.2786585365853655,0.0010307761887359307,0.0708761141528393,,,
65,1440,1376,0.6920592984001174,1.4615384615384615,e1C6mKGUooZXE6b,84950,0.6898998238661382,1.47,0.0004840726662960425,0.013301243435223572,,,
73,281,209,0.5337301587301587,26.767123287671232,S12Ea6C14fBUaq7,46145,0.533531746031746,26.713013698630135,0.0028454530111506637,0.053490475789505575,,,
157,5005,4849,0.5683076148943308,1.6878980891719746,Sa8h7uy5fsWY7X3,51306,0.5372274404562227,1.680891719745223,0.001295455440966595,0.008521712203987038,0.8979074204084545,1.4371042032063175,59.0
145,4452,4308,0.6224828801952674,4.662068965517242,CyBaPd19xBBpdS6,76702,0.6044696062256574,3.9906896551724147,0.0008008607383487961,0.03785415406247997,,,
101,2936,2836,0.7937189794792906,1.4653465346534653,23rN6i9dmfLQcNZ,67708,0.785513598235277,1.3915841584158415,0.0008010913418279899,0.03153974343801276,,,
392,4694,4303,0.42513746623335663,4.303571428571429,C72rsJ8i0fUKrfB,41263,0.410882114991704,4.104336734693878,0.0024359790199444844,0.08565466524636771,,,
158,4914,4757,0.5445445445445446,2.518987341772152,DSZKQQ60dRm7q1K,72028,0.5256719304338351,2.3598101265822784,0.0010054232180965548,0.072943552814021,,,
